population_particles,iteration_budget,is_feasible,cost,travel_time_min,runtime_ms
10,15,False,Infinity,Infinity,97.07
10,30,True,112.729,145.73,215.034
10,50,True,112.729,145.73,438.119
10,100,True,95.878,125.79,807.972
20,15,True,150.422,194.29,256.321
20,30,False,Infinity,Infinity,435.072
20,50,True,125.241,163.3,771.105
20,100,True,87.781,113.65,1705.463
30,15,False,Infinity,Infinity,305.196
30,30,True,289.12,378.7,789.408
30,50,True,84.559,108.79,1091.191
30,100,True,70.121,90.5,2197.439
50,15,True,74.513,97.0,637.328
50,30,True,74.513,97.0,1054.268
50,50,True,74.513,97.0,1747.637
50,100,True,71.257,94.38,3655.256
