num_customers,seed,greedy_cost,greedy_time_min,greedy_runtime_ms,qpso_cost,qpso_time_min,qpso_runtime_ms,qpso_feasible
8,42,36.975,151.31,20.62,31.413,121.06,310.42,True
8,101,27.984,145.03,15.08,2027.983,122.98,301.22,False
8,7,36.976,156.28,15.57,33.867,152.21,267.28,True
8,23,31.414,111.06,18.22,2031.413,116.84,256.69,False
8,88,30.436,130.48,10.41,2027.983,119.34,217.14,False
8,12,33.866,172.98,12.91,33.866,172.98,200.9,True
8,99,37.369,129.87,11.95,2027.983,127.75,171.16,False
8,54,25.029,131.49,12.64,4025.028,141.49,186.56,False
8,31,33.866,172.98,13.93,33.866,155.57,193.65,True
8,77,37.369,127.14,11.33,2030.435,110.12,196.59,False
12,42,55.438,212.78,30.89,49.797,192.57,226.43,True
12,101,46.01,184.14,31.79,2049.24,216.48,317.16,False
12,7,50.302,242.4,25.03,53.159,230.24,246.74,True
12,23,40.086,171.0,14.17,2050.112,179.88,231.38,False
12,88,46.872,199.9,14.09,60.69,211.46,265.71,True
12,12,50.302,242.4,27.99,54.512,244.66,240.35,True
12,99,50.976,223.39,13.87,49.89,218.94,217.98,True
12,54,40.086,189.8,18.13,4039.484,182.17,228.08,False
12,31,50.302,234.36,43.41,48.649,201.81,222.68,True
12,77,37.985,165.46,18.51,2049.727,183.29,207.78,False
16,42,73.716,258.68,40.03,2070.173,266.09,587.02,False
16,101,66.109,226.69,127.08,4076.275,279.82,320.36,False
16,7,72.621,333.04,38.23,72.389,330.37,319.2,True
16,23,62.67,277.2,33.4,4069.617,271.87,295.31,False
16,88,72.032,291.98,38.96,2076.823,272.32,312.88,False
16,12,69.492,314.22,42.91,2085.829,307.76,355.77,False
16,99,73.567,282.83,35.89,2071.713,275.54,269.23,False
16,54,60.063,256.01,34.38,2078.212,293.86,271.3,False
16,31,72.621,313.51,36.33,75.259,291.7,268.39,True
16,77,63.826,266.72,43.74,2072.107,274.37,280.73,False
