Seed,T0_Time_min,T0_Dist_km,T0_J,T0_Route,T1_Old_Time_min,T1_Old_J,T1_Reopt_Time_min,T1_Reopt_Dist_km,T1_Reopt_J,T1_Reopt_Route,Route_Diverged,Delay_Avoided_min,Pct_Delay_Reduction,Dist_Added_km,J_Avoided,Feasible,T0_Runtime_ms,T1_Runtime_ms
42,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,72.7,74.11
101,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,73.57,72.22
7,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,71.85,83.77
23,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,72.38,70.49
88,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,73.78,74.3
12,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,71.84,74.51
99,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,73.77,73.49
54,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,72.66,73.93
31,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,72.98,71.98
77,51.23,47.82,4.247,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction,68.49,5.2572,60.76,52.69,4.9319,rk_beach -> nad_junction -> rushikonda_beach -> kailasagiri_hill,True,7.73,11.29,4.87,0.3253,True,74.19,72.71
