Metric,OR-Tools,QPSO Mean ± Std,"QPSO [Min, Max]"
T0 Baseline Objective (J),4.2470,4.2470 ± 0.0000,"[4.2470, 4.2470]"
T0 Baseline Fleet Time (min),51.23,51.23 ± 0.00,"[51.23, 51.23]"
T1 Inaction Objective (J),5.2572,5.2572 ± 0.0000,"[5.2572, 5.2572]"
T1 Inaction Fleet Time (min),68.49,68.49 ± 0.00,"[68.49, 68.49]"
T1 Reoptimized Objective (J),4.9319,4.9319 ± 0.0000,"[4.9319, 4.9319]"
T1 Reoptimized Fleet Time (min),60.76,60.76 ± 0.00,"[60.76, 60.76]"
Delay Avoided (min),7.73,7.73 ± 0.00,"[7.73, 7.73]"
Delay Reduction (%),11.29%,11.29% ± 0.00%,"[11.29%, 11.29%]"
Distance Added (km),+4.87,+4.87 ± 0.00,"[4.87, 4.87]"
Feasibility Rate (%),100.0%,100.0%,"[100%, 100%]"
Route Divergence Rate (%),100.0%,100.0%,"[100%, 100%]"
