Seed,Initial_Particle_0_X,Initial_Unique_Permutations,Total_Particles,J_Iter_0,First_Optimum_Iteration,First_Optimum_Time_ms,J_Iter_10,J_Iter_25,J_Final,Total_Runtime_ms,Best_Route
42,"[-0.251, 0.901, 0.464, 0.197]",18,40,4.303,1,3.27,4.247,4.247,4.247,81.65,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
101,"[0.033, 0.141, -0.943, -0.657]",20,40,4.247,0,1.71,4.247,4.247,4.247,85.43,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
7,"[-0.847, 0.56, -0.123, 0.447]",16,40,4.247,0,1.53,4.247,4.247,4.247,76.52,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
23,"[0.035, 0.894, 0.531, -0.435]",18,40,4.247,0,1.47,4.247,4.247,4.247,73.43,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
88,"[0.295, 0.014, 0.057, 0.793]",20,40,4.247,0,1.57,4.247,4.247,4.247,78.58,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
12,"[-0.692, 0.48, -0.473, 0.067]",21,40,4.247,0,1.49,4.247,4.247,4.247,74.68,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
99,"[0.345, -0.024, 0.651, -0.937]",22,40,4.247,0,1.6,4.247,4.247,4.247,80.25,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
54,"[-0.16, -0.274, -0.63, 0.037]",21,40,4.303,5,8.99,4.247,4.247,4.247,74.88,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
31,"[-0.428, 0.916, 0.541, 0.974]",21,40,4.247,0,1.48,4.247,4.247,4.247,73.75,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
77,"[0.838, 0.284, 0.507, -0.721]",22,40,4.303,1,3.06,4.247,4.247,4.247,76.42,rushikonda_beach -> kailasagiri_hill -> rk_beach -> nad_junction
